pert_iname	classes
verteporfin	Photosensitizing agent
W-5	Calmodulin antagonist
warfarin	Vitamin K antagonist
WAY-161503	Serotonin receptor agonist
WAY-629	Serotonin receptor agonist
wortmannin	PI3K inhibitor
XE-991	Potassium channel blocker
Y-26763	Potassium channel activator
Y-27152	Potassium channel activator
Y-27632	Rho associated kinase inhibitor
YM-298198	Glutamate receptor antagonist
YM-90709	IL5 inhibitor
yohimbine	Adrenergic receptor antagonist
ZD-7114	Adrenergic receptor agonist
ZK-756326	CC chemokine receptor ligand
ZM-39923	JAK inhibitor
zoxazolamine	Myorelaxant
zacopride	Serotonin receptor antagonist
zamifenacin	Acetylcholine receptor antagonist
zimelidine	Serotonin reuptake inhibitor
zonisamide	Sodium channel blocker|T-type calcium channel blocker
aristolochic-acid	Phospholipase inhibitor
calyculin	Protein phosphatase inhibitor
cercosporin	Photoactivated toxin
epibatidine	Acetylcholine receptor agonist
epitestosterone	Inactive testosterone analog
fluphenazine	Dopamine receptor antagonist
fulvestrant	Estrogen receptor antagonist
geldanamycin	HSP inhibitor
manumycin-a	Farnesyltransferase inhibitor|NFkB pathway inhibitor
mitoxantrone	Topoisomerase inhibitor
nor-binaltorphimine	Opioid receptor antagonist
O-3M3FBS	Phospholipase activator
sirolimus	MTOR inhibitor
thioridazine	Dopamine receptor antagonist
trichostatin-a	HDAC inhibitor|CDK expression enhancer|ID1 expression inhibitor
trifluoperazine	Dopamine receptor antagonist
vorinostat	HDAC inhibitor
quinpirol-(-)	Dopamine receptor agonist
maackiain	Sodium/glucose cotransporter inhibitor
limonin	HIV protease inhibitor
osthol	Calcium channel blocker
cephaeline	Protein synthesis inhibitor
umbelliferone	Cyclooxygenase inhibitor
emodic-acid	Laxative
tyrphostin-AG-18	EGFR inhibitor|Tyrosine kinase inhibitor
AG-490	EGFR inhibitor|ErbB2 inhibitor|JAK inhibitor
tyrphostin-AG-494	EGFR inhibitor
AG-494	EGFR inhibitor|Tyrosine kinase inhibitor
tyrphostin-AG-538	IGF-1 inhibitor
tyrphostin-AG-555	EGFR inhibitor
tyrphostin-AG-556	EGFR inhibitor
AG-592	Tyrosine kinase inhibitor
tyrphostin	EGFR inhibitor
tyrphostin-AG-825	Receptor tyrosine protein kinase inhibitor
tyrphostin-1	EGFR inhibitor
tyrphostin-AG-1296	FLT3 inhibitor
tyrphostin-AG-1478	EGFR inhibitor
AG-370	PDGFR tyrosine kinase receptor inhibitor
tyrphostin-AG-879	Tyrosine kinase inhibitor|Angiogenesis inhibitor|VEGFR inhibitor
alverine	Muscle relaxant
AM-251	Cannabinoid receptor antagonist
AM-404	Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist
AM-630	Cannabinoid receptor antagonist
AM-92016	Potassium channel blocker
AM-580	Retinoid receptor agonist
amantadine	Glutamate receptor antagonist
amitriptyline	Norepinephrine inhibitor|Norepinephrine reuptake inhibitor|Serotonin receptor antagonist|Serotonin reuptake inhibitor
AMN-082	Glutamate receptor positive allosteric modulator|Glutamate receptor modulator
aminomethyltransferase	Nitric oxide synthase inhibitor
anandamide	Cannabinoid receptor agonist
androsta-1,4-dien-3,17-dione	Aromatase inhibitor
methyl-angolensate	Apoptosis inhibitor
AQ-RA741	Acetylcholine receptor antagonist
arachidonamide	Cannabinoid receptor agonist
auraptene	Nitric oxide production inhibitor
austricine	Hypolipidemic
AY-9944	Hedgehog pathway modulator
AZ-10417808	Caspase inhibitor
alfadolone-acetate	GABA receptor agonist
aloisine	CDK inhibitor|CFTR channel agonist|Glycogen synthase kinase inhibitor
alprostadil	Prostanoid receptor agonist
altanserin	Serotonin receptor antagonist
amiloride	Sodium channel blocker
aminogenistein	Src inhibitor
aminopurvalanol-a	Tyrosine kinase inhibitor|CDK inhibitor
amthamine	Histamine receptor agonist
anabasine	Acetylcholine receptor agonist
angiogenesis-inhibitor	Angiogenesis inhibitor
aniracetam	Glutamate receptor agonist
anisomycin	DNA synthesis inhibitor
apoptosis-activator-II	Carboxylesterase inhibitor
arctigenin	MEK inhibitor
arecaidine-but-2-ynyl-ester	Acetylcholine receptor agonist
arecaidine-propargyl-ester	Acetylcholine receptor agonist
arvanil	TRPV agonist
azacyclonol	Histamine receptor antagonist
talipexole	Adrenergic receptor agonist|Dopamine receptor agonist
baccatin-III	Paclitaxel precursor
baeomycesic-acid	Lipoxygenase inhibitor
BAPTA-AM	Potassium channel blocker
BAY-36-7620	Glutamate receptor antagonist
BAY-59-3074	Cannabinoid receptor partial agonist
BD-1008	Sigma receptor antagonist
BD-1047	Adrenergic receptor antagonist
BD-1063	Sigma receptor antagonist
benzanthrone	Aromatic hydrocarbon derivative
benzo(a)pyrene	Carcinogen
betahistine	Histamine receptor agonist|Histamine receptor antagonist
bezafibrate	PPAR receptor agonist
bicalutamide	Androgen receptor antagonist
biochanin-a	Estrogen receptor agonist
BML-190	Cannabinoid receptor inverse agonist
BML-257	AKT inhibitor|HCV inhibitor
BMS-191011	Potassium channel activator
BMY-14802	Sigma receptor antagonist
BMY-7378	Adrenergic receptor antagonist|Serotonin receptor antagonist
BP-554	Serotonin receptor agonist
BRL-15572	Serotonin receptor antagonist
BRL-37344	Adrenergic receptor agonist
BRL-50481	Phosphodiesterase inhibitor
BRL-54443	Serotonin receptor agonist
BU-239	Imidazoline receptor agonist|Imidazoline ligand
buddleoflavonoloside	Acetylcholinesterase inhibitor
bumetanide	Solute carrier family member inhibitor
butoconazole	Bacterial cell wall synthesis inhibitor
BW-723C86	Serotonin receptor agonist
BAY-11-7082	NFkB pathway inhibitor
BCL2-inhibitor	BCL inhibitor
beclomethasone-dipropionate	Immunosuppressant|Glucocorticoid receptor agonist
bemegride	Chemoreceptor agonist
oxybuprocaine	Local anesthetic
benperidol	Dopamine receptor antagonist
ubenimex	Leukotriene inhibitor
betaxolol	Adrenergic receptor antagonist
bifemelane	Acetylcholine release stimulant
biotin	Vitamin B
bis-tyrphostin	EGFR inhibitor
boldine	Acetylcholine receptor antagonist|Dopamine receptor antagonist
brefeldin-a	Protein synthesis inhibitor|Brefeldin A inhibited guanine nucleotide exchange protein inhibitors|Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor inhibitor
brinzolamide	Carbonic anhydrase inhibitor
butabindide	Tripeptidyl peptidase inhibitor
butein	EGFR inhibitor|Src inhibitor
carbacyclin	IP receptor activator|PPAR receptor agonist
carbenoxolone	11-beta-HSD1 inhibitor
carbofuran	Cholinesterase inhibitor
carprofen	Cyclooxygenase inhibitor
catechin	Beta secretase inhibitor|Fatty acid synthase inhibitor|LDL antioxidants
CCCP	Mitochondrial oxidative phosphorylation uncoupler
CCMQ	Inhibitor of the binding of homoquinolinic acid to non-NMDA sensitive sites
CCT-018159	HSP inhibitor
CDC	Lipoxygenase inhibitor
cephalotaxine	Protein synthesis inhibitor
cetirizine	Histamine receptor antagonist
CFM-1571	Guanylate cyclase activator
CGK-733	ATM kinase inhibitor|ATR kinase inhibitor
CGP-12177	Adrenergic receptor agonist
CGP-13501	GABA receptor modulator
CGP-20712	Adrenergic receptor antagonist
CGP-37157	L-type calcium channel blocker|Sodium/calcium exchange inhibitor|Mitochondrial Na+/Ca2+ exchanger antagonist
CGP-52432	GABA receptor antagonist
CGP-53353	EGFR inhibitor|PKC inhibitor
CGP-55845	GABA receptor antagonist
CGP-71683	Neuropeptide receptor antagonist
CGP-7930	GABA receptor modulator|GABA receptor positive allosteric modulator
CGS-12066B	Serotonin receptor agonist
CGS-20625	Benzodiazepine receptor agonist
CGS-21680	Adenosine receptor agonist
zaldaride	Calmodulin antagonist
proguanil	Dihydrofolate reductase inhibitor
CI-966	GAT inhibitor
ciglitazone	PPAR receptor agonist
CL-218872	GABA receptor agonist
CL-82198	Metalloproteinase inhibitor
cosmosiin	Cytochrome P450 inhibitor
coumaric-acid	Antioxidant
CP-55940	Cannabinoid receptor agonist
CP-93129	Serotonin receptor agonist
CP-94253	Serotonin receptor agonist
CPCCOEt	Glutamate receptor antagonist
irinotecan	Topoisomerase inhibitor
crotamiton	Antipruritic
indolophenanthridine	CALY activator
cymarin	ATPase inhibitor
cabergoline	Dopamine receptor agonist
caffeic-acid	HIV integrase inhibitor|Lipoxygenase inhibitor|Nitric oxide production inhibitor|NFkB pathway inhibitor|PPAR receptor modulator|Tumor necrosis factor production inhibitor|TNF production inhibitor
calycanthine	GABA release inhibitor
camptothecin	Topoisomerase inhibitor
potassium-canrenoate	Mineralocorticoid receptor antagonist
capsazepine	TRPV agonist
cardiogenol-c	Cardiomyogenesis inducer
carmoxirole	Dopamine receptor agonist
carteolol	Adrenergic receptor antagonist
NSC-693868	CDK inhibitor|Glycogen synthase kinase inhibitor
CDK2-5-inhibitor	CDK inhibitor
cefixime	Bacterial cell wall synthesis inhibitor
ceforanide	Penicillin binding protein inhibitor
cefotiam	Bacterial cell wall synthesis inhibitor
clomethiazole	GABA receptor antagonist|GABA receptor modulator
cilastatin	Dehydropeptidase inhibitor
cilnidipine	Calcium channel blocker
cilostamide	Phosphodiesterase inhibitor
cinalukast	Leukotriene receptor antagonist
cinnarizine	Calcium channel blocker
ciprofibrate	PPAR receptor agonist
cirazoline	Adrenergic receptor agonist
clobenpropit	Histamine receptor antagonist
clocortolone-pivalate	Steroid
clofarabine	Ribonucleoside reductase inhibitor
clofibric-acid	PPAR receptor agonist
clomipramine	Serotonin transporter (SERT) inhibitor
clozapine	Serotonin receptor antagonist|Dopamine receptor antagonist
CO-102862	Sodium channel blocker
cromakalim	Potassium channel activator
cucurbitacin-i	JAK inhibitor|Lipocortin synthesis stimulant|STAT inhibitor
ciclacillin	Bacterial cell wall synthesis inhibitor
cyclo-[Arg-Gly-Asp-D-Phe-Val]	Integrin antagonist
cyclopenthiazide	Thiazide diuretic
cyproterone	Androgen receptor antagonist
D-4476	TGF beta receptor inhibitor
D-64131	Microtubule inhibitor
dactinomycin	RNA polymerase inhibitor
dantron	Laxative
DAPT-GSI-IX	Gamma secretase inhibitor
DAU-5884	Acetylcholine receptor antagonist
1,2-dichlorobenzene	Hepatotoxicant|Organic compound
DCEBIO	Potassium channel activator
deguelin	NADH-ubiquinone oxidoreductase (Complex I) inhibitor
deoxycorticosterone-acetate	Progestogen hormone
decafluorobutane	Contrast agent
DH-97	Melatonin receptor antagonist
benzydamine	Prostanoid receptor antagonist
diazepam	Benzodiazepine receptor agonist
dibenzepin	Norepinephrine reuptake inhibitor
dichlorobenzamil	Sodium/calcium exchange inhibitor
dictamnine	Furoquinoline alkaloid
dicyclohexylurea	Epoxide hydolase inhibitor
diethyltoluamide	DEET, activator of fly antenna ionotropic receptor IR40a
tubaic-acid	Mitochondrial complex I inhibitor|NADH-ubiquinone oxidoreductase (Complex I) inhibitor
dipropyl-5ct	Serotonin receptor agonist
diprotin-a	Dipeptidyl peptidase inhibitor
DMAB-anabaseine	Adrenergic receptor agonist
DMP-543	Acetylcholine release stimulant
DMeOB	Glutamate receptor modulator
DNQX	Glutamate receptor antagonist
BP-897	Dopamine receptor agonist
doconexent	PPAR receptor agonist
docosatrienoic-acid	LTB4 inhibitor
diarylpropionitrile	Estrogen receptor agonist
DPPE	Histamine receptor antagonist
DR-2313	PARP inhibitor
ditolylguanidine	Sigma receptor agonist
DY-131	Estrogen receptor agonist|Estrogen-related receptor agonist
dantrolene	Calcium channel blocker
dehydroisoandosterone	GABA receptor modulator
delcorine	Antiarrhythmic|Ganglionic blocker
deltaline	Acetylcholine receptor antagonist
denbufylline	Phosphodiesterase inhibitor
desoxycortone	Mineralocorticoid receptor agonist
devazepide	CCK receptor antagonist
diazoxide	Potassium channel activator
diclofenamide	Carbonic anhydrase inhibitor
diflorasone	Glucocorticoid receptor agonist
digoxigenin	Steroid
quinisocaine	Local anesthetic
diphenidol	Acetylcholine receptor agonist
diphenyleneiodonium	Nitric oxide synthase inhibitor
dobutamine	Adrenergic receptor agonist
dosulepin	Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor|Tricyclic antidepressant
DUP-697	Cyclooxygenase inhibitor
dydrogesterone	Progesterone receptor agonist
EBPC	Aldose reductase inhibitor
eriochrome-black-t	Azo dye used in titrations to detect metal ions
econazole	Lanosterol demethylase inhibitor|Sterol demethylase inhibitor|Bacterial cell wall synthesis inhibitor
EHNA	Adenosine deaminase inhibitor
eicosatrienoic-acid	Vasodilator
enalapril	Angiotensin converting enzyme inhibitor
enrofloxacin	Bacterial DNA gyrase inhibitor
EO-1428	P38 MAPK inhibitor
ER-27319	Mediator release inhibitor|SYK inhibitor
ergocornine	Dopamine receptor agonist
ergometrine	Adrenergic receptor agonist|Serotonin receptor agonist
eriodictyol	Cytochrome P450 inhibitor
erythromycin	NFkB pathway inhibitor
estradiol-valerate	Estrogen receptor agonist
BRD-K49061529	GABA benzodiazepine site receptor inverse agonist
eugenitol	Androgen receptor antagonist|Bacterial quorum sensing inhibitor|Chromone|Monoamine oxidase inhibitor
embelin	HCV inhibitor|XIAP inhibitor
epirizole	Cyclooxygenase inhibitor
eplerenone	Cytochrome P450 inhibitor
esculin	Antioxidant
ethisterone	Progestogen hormone
mestranol	Estrogen receptor agonist
etifenin	Compound used in hepatobiliary scans of the liver
evoxine	Furoquinoline alkaloid
EXO-1	ARF inhibitor
farnesylthioacetic-acid	Inhibitor of methyl esterification of farnesylated proteins
FCCP	Mitochondrial oxidative phosphorylation uncoupler
febuxostat	Xanthine oxidase inhibitor
fenbendazole	Tubulin inhibitor
fenofibrate	PPAR receptor agonist
finasteride	5 alpha reductase inhibitor
FIT	Opioid receptor agonist
FK-888	Tachykinin antagonist
flavokavain-b	Anticancer agent
fluconazole	Sterol demethylase inhibitor
flufenamic-acid	Chloride channel blocker
flumetasone	Glucocorticoid receptor agonist
flunisolide	Cytochrome P450 inhibitor
fluperlapine	Serotonin receptor antagonist
fluprostenol	Prostanoid receptor agonist
fludroxycortide	Glucocorticoid receptor agonist
FPL-55712	Leukotriene receptor antagonist
FPL-64176	Calcium channel activator
FR-122047	Cyclooxygenase inhibitor
FR-139317	Endothelin receptor antagonist
fraxidin	Carbonic anhydrase inhibitor
farnesylthiotriazole	PPMTase inhibitor
fananserin	Dopamine receptor antagonist|Serotonin receptor antagonist
fasudil	Rho associated kinase inhibitor
felbamate	Glutamate receptor antagonist
felodipine	Calcium channel blocker
fenobam	Glutamate receptor antagonist
fenoldopam	Dopamine receptor agonist
fenretinide	Apoptosis stimulant|Retinoid receptor agonist
fexaramine	FXR agonist
fillalbin	Increases arterial blood pressure
flavoxate	Acetylcholine receptor antagonist
flucloxacillin	Bacterial cell wall synthesis inhibitor
flumazenil	Benzodiazepine receptor antagonist
flurofamide	Urease inhibitor
fluticasone	Glucocorticoid receptor agonist
fluticasone-propionate	Glucocorticoid receptor agonist
fluvoxamine	Selective serotonin reuptake inhibitor (SSRI)
foliosidine	Plant alkaloid
formoterol	Adrenergic receptor agonist
fusaric-acid	Dopamine beta hydroxylase inhibitor
gamma-linolenic-acid	Cyclooxygenase inhibitor|Prostanoid receptor agonist
ganglioside	Src activator
GBR-12783	Dopamine uptake inhibitor
vanoxerine	Dopamine uptake inhibitor
GBR-12935	Dopamine uptake inhibitor
GBR-13069	Dopamine uptake inhibitor
glipizide	Sulfonylurea
GP-1a	Cannabinoid receptor agonist
GP-2a	Cannabinoid receptor agonist
GR-127935	Serotonin receptor antagonist
GR-144053	Integrin antagonist
GR-159897	Tachykinin antagonist
GR-32191	Thromboxane receptor antagonist
GR-46611	Serotonin receptor agonist
GR-55562	Serotonin receptor antagonist
GR-79236	Adenosine receptor agonist
GR-89696	Opioid receptor agonist
GS-39783	GABA receptor modulator
AR-A014418	Glycogen synthase kinase inhibitor
GTP-14564	FLT3 inhibitor|Tyrosine kinase inhibitor
GW-0742	PPAR receptor agonist|Insulin sensitizer
GW-311616	Leukocyte elastase inhibitor
GW-405833	Cannabinoid receptor agonist
GW-441756	Growth factor receptor inhibitor
GW-583340	Receptor tyrosine protein kinase inhibitor|EGFR inhibitor|ErbB2 inhibitor
GW-6471	PPAR receptor antagonist
GW-843682X	PLK inhibitor
GW-9508	Free Fatty Acid Receptor 1 (FFAR1; GPR40) Agonists|G protein coupled receptor agonist|Free fatty acid receptor agonist|G protein-coupled receptor agonist
GW-9662	PPAR receptor antagonist
GYKI-52466	Glutamate receptor antagonist|Kainate receptor antagonist
gabexate	Serine protease inhibitor
gavestinel	Glutamate receptor antagonist
genistein	Tyrosine kinase inhibitor
MD-920	NFkB pathway inhibitor
glibenclamide	Sulfonylurea
glimepiride	Insulin secretagogue
gliquidone	Sulfonylurea
guggulsterone	Estrogen receptor agonist|FXR antagonist|Progesterone receptor agonist|Cholesterol inhibitor|IKK inhibitor|Pregnane X receptor agonist
H-89	PKA inhibitor
H-8	PKA inhibitor
H-9	PKA inhibitor
HA-1004	Calcium channel blocker
BE-2254	Adrenergic receptor antagonist
hemado	Adenosine receptor agonist
herniarin	Acetylcholinesterase inhibitor
quercetagetin	PIM kinase inhibitor
homosalate	HSP inducer
hydrastine-(1r,-9s)	Tyrosine hydroxylase inhibitor
hydrocortisone	Glucocorticoid receptor agonist
hydrocortisone-valerate	Corticosteroid agonist|Glucocorticoid receptor agonist
hydroquinidine	Antiarrhythmic
halcinonide	Glucocorticoid receptor agonist
harpagoside	Acetylcholinesterase inhibitor
hesperidin	Flavanone glycoside
hexylcaine	Sodium channel blocker
hinokitiol	Tyrosinase inhibitor
hippeastrine	Plant alkaloid
hispidin	PKC inhibitor
bisbenzimide	DNA binding agent
homoharringtonine	Protein synthesis inhibitor
hydralazine	Vasodilator
hydrastinine	Haemostatic agent
IAA-94	Chloride channel blocker
IBC-293	Hydroxycarboxylic acid receptor agonist
BRD-A89208012	Thromboxane receptor antagonist
ICI-162846	Histamine receptor antagonist
BRD-A51929314	Thromboxane receptor antagonist
ICI-199441	Opioid receptor agonist
ICI-89406	Adrenergic receptor antagonist
IKK-16	IKK inhibitor
IKK-2-inhibitor-V	IKK inhibitor|NFkB pathway inhibitor
imperatorin	CDK inhibitor
indole-3-carbinol	Aryl hydrocarbon receptor agonist|Indoleamine 2,3-dioxygenase inhibitor
irilin-a	Isoflavone
IRL-2500	Endothelin receptor antagonist
isamoltane	Adrenergic receptor antagonist
isoeugenol	Nitric oxide production inhibitor
isoreserpine	Vesicular monoamine transporter inhibitor
isorotenone	Mitochondrial complex I inhibitor|NADH-ubiquinone oxidoreductase (Complex I) inhibitor
ITE	Aryl hydrocarbon receptor agonist
ivermectin	GABA receptor agonist
ibudilast	Phosphodiesterase inhibitor|Leukotriene receptor antagonist
immepip	Histamine receptor agonist
iobenguane	Antineoplastic agent
adipiodone	Contrast agent
iodophenpropit	Histamine receptor antagonist
ioxaglic-acid	Radiopaque medium
irsogladine	Phosphodiesterase inhibitor
isocarboxazid	Monoamine oxidase inhibitor
isoflupredone-acetate	Glucocorticoid receptor agonist
sulmazole	Adenosine receptor antagonist
ivachtin	Caspase inhibitor
J-104129	Acetylcholine receptor antagonist
JAK3-inhibitor-I	JAK inhibitor
WHI-P154	JAK inhibitor
JAK3-inhibitor-V	JAK inhibitor
JAK3-inhibitor-VI	JAK inhibitor
JLK-6	Gamma secretase inhibitor|Antiamyloidogenic agent
JNJ-10191584	Histamine receptor antagonist
JNJ-16259685	Glutamate receptor antagonist
JTE-013	Lysophospholipid receptor antagonist
JTE-907	Cannabinoid receptor inverse agonist
JWH-015	Cannabinoid receptor agonist
JX-401	P38 MAPK inhibitor
kavain	Calcium channel modulator|Sodium channel blocker
KB-R7943	Sodium/calcium exchange inhibitor
ketoprofen	Cyclooxygenase inhibitor
KF-38789	P selectin inhibitor
KN-62	Calcium/calmodulin dependent protein kinase inhibitor|Purinergic receptor antagonist
KN-93	Calcium/calmodulin dependent protein kinase inhibitor
KU-14R	Putative I3 antagonist|Imidazoline ligand
kynuramine	Aryl hydrocarbon receptor activator
kenpaullone	CDK inhibitor|Glycogen synthase kinase inhibitor
ketanserin	Serotonin receptor antagonist
L-368899	Oxytocin receptor antagonist
L-655240	Thromboxane receptor antagonist
vesamicol	Acetylcholinesterase inhibitor
L-152804	Neuropeptide receptor antagonist
L-165041	PPAR receptor agonist
L-689560	Glutamate receptor antagonist
L-692585	Growth hormone releasing peptide ligand agonist
L-693403	Sigma receptor agonist|Sigma receptor antagonist
L-694247	Serotonin receptor agonist
L-701252	Glutamate receptor antagonist
L-732138	Tachykinin antagonist
L-733060	Tachykinin antagonist
L-741626	Dopamine receptor antagonist
L-745870	Dopamine receptor antagonist
L-750667	Dopamine receptor antagonist
L-803087	Somatostatin receptor agonist
lavendustin-a	EGFR inhibitor
lawsone	Coloring agent
LE-135	Retinoid receptor agonist
LE-300	Dopamine receptor antagonist
LFM-A12	EGFR inhibitor
LFM-A13	BTK inhibitor
lidocaine	Histamine receptor agonist
linoleamide	ACAT inhibitor
alpha-linolenic-acid	Omega 3 fatty acid stimulant
lonidamine	Glucokinase inhibitor
losartan	Angiotensin receptor antagonist
lovastatin	HMGCR inhibitor
LY-2183240	FAAH inhibitor|FAAH reuptake inhibitor
LY-225910	CCK receptor antagonist
LY-288513	CCK receptor antagonist
LY-303511	Casein kinase inhibitor|PI3K inhibitor
LY-320135	Cannabinoid receptor antagonist
LY-341495	Glutamate receptor antagonist
LY-364947	TGF beta receptor inhibitor|P38 MAPK inhibitor
quinelorane	Dopamine receptor agonist
LY-165163	Serotonin receptor antagonist
LY-278584	Serotonin receptor antagonist
LY-255283	Leukotriene receptor antagonist
lysylphenylalanyl-tyrosine	Heparin activation inhibitor
lamotrigine	Serotonin receptor antagonist|Sodium channel blocker
leflunomide	Dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor
levcromakalim	Potassium channel activator
levocabastine	Histamine receptor antagonist
lidoflazine	Calcium channel blocker
roquinimex	Angiogenesis inhibitor|TNF production inhibitor
lobelanidine	Acetylcholine receptor antagonist|Dopamine receptor modulator|Opioid receptor antagonist|Vesicular monoamine transporter ligand
loperamide	Opioid receptor agonist
loreclezole	GABA receptor agonist
lumicolchicine	Colchicine isomer, non-binder of microtubules
luzindole	Melatonin receptor antagonist
lylamine	Cannabinoid receptor agonist
lysergol	Ergoline alkaloid
mammea-a	Other antibiotic
MAPP-D-erythro	Ceramidase inhibitor
L-erythro-MAPP	Negative control for D-erythro-MAPP
bemesetron	Serotonin receptor antagonist
MDL-72832	Serotonin receptor agonist
MDL-28170	Calpain inhibitor
MDM2-inhibitor	MDM inhibitor
mead-acid	KPL-1 tumor suppressor
mead-ethanolamide	Cannabinoid receptor agonist
mebendazole	Tubulin inhibitor
meclizine	Constitutive androstane receptor (CAR) agonist
meclofenamic-acid	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
medrysone	Glucocorticoid receptor agonist
mefenamic-acid	Cyclooxygenase inhibitor
mefexamide	Psychoactive drug
megestrol-acetate	Progesterone receptor agonist|DNA inhibitor
MEK1-2-inhibitor	MEK inhibitor
mesoridazine	Dopamine receptor antagonist
metaxalone	Muscle relaxant
methocarbamol	Muscle relaxant
methoprene-acid	Retinoid receptor agonist
BRD-K14844937	GABA benzodiazepine site receptor inverse agonist
BRD-K28680267	CCK receptor antagonist
methylnorlichexanthone	Aurora kinase inhibitor|PIM kinase inhibitor|VEGFR inhibitor
metoclopramide	Dopamine receptor antagonist|Serotonin receptor antagonist
metoprolol	Adrenergic receptor antagonist
MG-132	Proteasome inhibitor
minoxidil	KATP activator|Kir6 channel (KATP) activator|Vasodilator
ML-3163	P38 MAPK inhibitor
ML-7	Myosin light chain kinase inhibitor
MMPX	Phosphodiesterase inhibitor
MNITMT	Lymphocyte inhibitor
modafinil	Adrenergic receptor agonist
LY-456236	Glutamate receptor antagonist
MR-16728	Acetylcholine release stimulant|Acetylcholine release enhancer
MRS-1220	Adenosine receptor antagonist
MRS-1754	Adenosine receptor antagonist
MRS-1845	Calcium channel blocker
MT-21	Caspase activator
MY-5445	Phosphodiesterase inhibitor|Platelet aggregation inhibitor
mycophenolate-mofetil	Inosine monophosphate dehydrogenase inhibitor|Hydroxycarboxylic acid receptor agonist|Immunosuppressant|Dehydrogenase inhibitor|Inositol monophosphatase inhibitor
malonoben	Protein tyrosine kinase inhibitor
meclocycline	Bacterial 30S ribosomal subunit inhibitor
melperone	Dopamine receptor antagonist|Serotonin receptor antagonist
meprylcaine	Local anesthetic
meptazinol	Opioid receptor agonist
methantheline	Acetylcholine receptor antagonist
levomepromazine	Dopamine receptor antagonist
methyllycaconitine	Acetylcholine receptor antagonist
mevastatin	HMGCR inhibitor
mianserin	Serotonin receptor antagonist
mibefradil	T-type calcium channel blocker
mifepristone	Glucocorticoid receptor antagonist|Progesterone receptor antagonist
milrinone	Phosphodiesterase inhibitor
moexipril	Angiotensin converting enzyme inhibitor
molsidomine	Guanylyl cyclase activator
mometasone	Glucocorticoid receptor agonist
monastrol	Kinesin inhibitor
moxonidine	Imidazoline receptor agonist
hexamethyleneamiloride	Sodium/hydrogen antiport inhibitor
Ro-16-6941	Monoamine oxidase inhibitor
N-arachidonyl-GABA	Cannabinoid receptor agonist
desmethylclozapine	Acetylcholine receptor agonist
N-methyllidocaine-iodide	Antiarrhythmic medication
BRD-K17693482	Potassium channel activator
BRD-K71726959	CDK inhibitor
NAN-190	Serotonin receptor agonist
naphazoline	Adrenergic receptor agonist
NAS-181	Serotonin receptor antagonist
nateglinide	Insulin secretagogue
NBI-27914	CRF receptor antagonist
NECA	Adenosine receptor agonist
nefopam	Cyclooxygenase inhibitor
NGB-2904	Dopamine receptor antagonist
niguldipine	Adrenergic receptor antagonist|Calcium channel blocker
nilutamide	Androgen receptor antagonist
nizatidine	Histamine receptor antagonist
NNC-05-2090	GAT inhibitor|GABA uptake inhibitor
BRD-K08438429	Somatostatin receptor agonist
NNC-55-0396	T-type calcium channel blocker
NNC-63-0532	Opioid receptor agonist
NNC-711	GAT inhibitor
nobiletin	MEK inhibitor
nomilin	HSP inhibitor
nonoxynol-9	Membrane integrity inhibitor
noreleagnine	Monoamine oxidase inhibitor|Serotonin receptor agonist
norethisterone	Progesterone receptor agonist
noretynodrel	Progestogen hormone
norgestrel	Progesterone receptor agonist
nortriptyline	Tricyclic antidepressant
noscapine	Bradykinin receptor antagonist|Tubulin inhibitor
NPC-15199	ICAM1 antagonist|ICAM 1 antagonist
NSC-3852	HDAC inhibitor
NSC-632839	Ubiquitin specific protease inhibitor
NSC-95397	CDC inhibitor
NTNCB	Neuropeptide receptor antagonist
buphenine	Adrenergic receptor agonist
tosyllysyl-chloromethyl-ketone	Chymotrypsin inhibitor
nafadotride	Dopamine receptor antagonist
nafcillin	Bacterial cell wall synthesis inhibitor
naftifine	Fungal squalene epoxidase inhibitor
naltriben	Opioid receptor antagonist
naltrindole	Opioid receptor antagonist
naproxen	Cyclooxygenase inhibitor
necrostatin-1	RIPK inhibitor
nefazodone	Serotonin receptor antagonist|Serotonin reuptake inhibitor|Adrenergic inhibitor|Norepinephrine reuptake inhibitor
nemonapride	Dopamine receptor antagonist
nifedipine	Calcium channel blocker
nifurtimox	DNA inhibitor
nimesulide	Cyclooxygenase inhibitor
nisoxetine	Norepinephrine reuptake inhibitor
nitrocaramiphen	Cholinergic receptor antagonist
nomegestrol-acetate	Progesterone receptor agonist
norcyclobenzaprine	Adrenergic receptor agonist|Serotonin receptor antagonist
levonorgestrel	Estrogen receptor agonist|Glucocorticoid receptor antagonist|Progesterone receptor agonist|Progesterone receptor antagonist
norketamine	Glutamate receptor antagonist
O-1918	Cannabinoid receptor antagonist
O-2050	Cannabinoid receptor antagonist
OBAA	Phospholipase inhibitor
ODQ	Guanylyl cyclase inhibitor
oleanolic-acid	G protein-coupled receptor agonist
OMDM-2	FAAH inhibitor
omeprazole	ATPase inhibitor
orphenadrine	Acetylcholine receptor antagonist
