pert_iname	classes
clemastine	antipruritics, incl. antihistamines, anesthetics, etc.|antihistamines for topical use|histamine agents|photosensitizing agents|central nervous system depressants|antihistamines for systemic use|neurotransmitter agents|pyrrolidines|qtc prolonging agents|cytochrome p 450 cyp2d6 inhibitors|cytochrome p 450 enzyme inhibitors|anti allergic agents|cytochrome p 450 cyp2d6 inhibitors (strength unknown)|antipruritics|dermatologicals|highest risk qtc prolonging agents|histamine antagonists|aminoalkyl ethers|histamine h1 antagonists
acarbose	carbohydrates|polysaccharides|trisaccharides|drugs used in diabetes|alimentary tract and metabolism|drugs that are mainly renally excreted|enzyme inhibitors|blood glucose lowering agents|oligosaccharides|glycoside hydrolase inhibitors|hypoglycemia associated agents
venlafaxine	agents producing tachycardia|membrane transport modulators|psychoanaleptics|central nervous system agents|cyclohexanes|drugs that are mainly renally excreted|amines|cytochrome p 450 cyp3a4 substrates|hypoglycemia associated agents|p glycoprotein inhibitors|p glycoprotein substrates|cytochrome p 450 cyp2d6 inhibitors (weak)|antidepressive agents, second generation|serotonergic drugs shown to increase risk of serotonin syndrome|serotonin agents|cycloparaffins|serotonin modulators|fatty alcohols|norepinephrine uptake inhibitors|central nervous system depressants|neurotransmitter agents|antidepressive agents|serotonin and noradrenaline reuptake inhibitors|qtc prolonging agents|hexanols|cytochrome p 450 cyp2d6 inhibitors|cytochrome p 450 cyp2b6 inhibitors|agents that reduce seizure threshold|nervous system|cytochrome p 450 enzyme inhibitors|cyclohexanols|cytochrome p 450 substrates|cytochrome p 450 cyp2c9 substrates|ethylamines|potential qtc prolonging agents|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp2d6 inhibitors (moderate)|combined inhibitors of serotonin/norepinephrine reuptake|neurotransmitter uptake inhibitors|psychotropic drugs|lipids|phenethylamines|bcrp/abcg2 inducers|alcohols
amcinonide	hormones, hormone substitutes, and hormone antagonists|adrenal cortex hormones|cytochrome p 450 cyp3a4 inducers|cytochrome p 450 cyp3a4 substrates|fused ring compounds|corticosteroids, potent (group iii)|corticosteroids|cytochrome p 450 cyp3a5 inducers (strength unknown)|steroids, fluorinated|hyperglycemia associated agents|anti inflammatory agents|pregnanes|cytochrome p 450 substrates|cytochrome p 450 cyp3a inducers|corticosteroid hormone receptor agonists|immunosuppressive agents|cytochrome p 450 cyp3a substrates|glucocorticoids|cytochrome p 450 cyp3a4 inducers (strength unknown)|dermatologicals|cytochrome p 450 enzyme inducers|steroids|corticosteroids, dermatological preparations|hormones|thyroxine binding globulin inhibitors|pregnadienes|cytochrome p 450 cyp3a5 inducers
atomoxetine	agents producing tachycardia|membrane transport modulators|adrenergic agents|drugs that are mainly renally excreted|amines|cytochrome p 450 cyp2c19 substrates|agents that produce hypertension|norepinephrine uptake inhibitors|central nervous system depressants|neurotransmitter agents|miscellaneous central nervous system agents|qtc prolonging agents|propylamines|norepinephrine reuptake inhibitor|nervous system|cytochrome p 450 enzyme inhibitors|psychostimulants, agents used for adhd and nootropics|cytochrome p 450 substrates|potential qtc prolonging agents|cytochrome p 450 cyp2d6 substrates|neurotransmitter uptake inhibitors
chlorambucil	nitrogen mustard compounds|agents that reduce seizure threshold|antineoplastic and immunomodulating agents|alkylating drugs|hydrocarbons, halogenated|nitrogen mustard analogues|myelosuppressive agents|antineoplastic agents|antineoplastic agents, alkylating|alkylating activity|narrow therapeutic index drugs|immunosuppressive agents|noxae|toxic actions|mustard compounds
etomidate	hypnotics and sedatives|agents producing tachycardia|nervous system|imidazoles|adrenergic agonists|anesthetics, general|central nervous system agents|miscellaneous general anesthetics|agents that produce hypertension|drugs that are mainly renally excreted|central nervous system depressants|adrenergic alpha 2 receptor agonists|adrenergic alpha agonists|anesthetics|anesthetics, intravenous
raltitrexed	folic acid antagonists|folic acid analogues|antimetabolites|heterocyclic compounds, fused ring|myelosuppressive agents|antineoplastic agents|narrow therapeutic index drugs|sulfur compounds|enzyme inhibitors|thymidylate synthase, antagonists & inhibitors|immunosuppressive agents|noxae|toxic actions
ropivacaine	anesthetics, local|sensory system agents|central nervous system agents|drugs that are mainly renally excreted|amines|cytochrome p 450 cyp3a4 substrates|local anesthesia|neuraxial anesthetics|cytochrome p 450 cyp2b6 substrates|hypotensive agents|local anesthetics (amide)|central nervous system depressants|amides|nervous system|anilides|cytochrome p 450 substrates|anesthetics|aniline compounds|cytochrome p 450 cyp3a substrates|peripheral nervous system agents|cytochrome p 450 cyp1a2 substrates
bupivacaine	anesthetics, local|sensory system agents|central nervous system agents|amines|cytochrome p 450 cyp3a4 substrates|local anesthesia|neuraxial anesthetics|cytochrome p 450 cyp2c19 substrates|hypotensive agents|local anesthetics (amide)|central nervous system depressants|amides|agents that reduce seizure threshold|nervous system|anilides|cytochrome p 450 substrates|anesthetics|cytochrome p 450 cyp2d6 substrates|aniline compounds|cytochrome p 450 cyp3a substrates|peripheral nervous system agents
penciclovir	reverse transcriptase inhibitors|nucleic acid synthesis inhibitors|antiinfectives for systemic use|dermatologicals|heterocyclic compounds, fused ring|nucleosides and nucleotides excl. reverse transcriptase inhibitors|purinones|cytochrome p 450 cyp1a2 substrates|cytochrome p 450 substrates|herpesvirus nucleoside analog dna polymerase inhibitor|direct acting antivirals|purines|anti infective agents|antiviral agents|antivirals for systemic use
flucloxacillin	antibacterials for systemic use|anti bacterial agents|beta lactam antibacterials|cytochrome p 450 cyp3a4 substrates|beta lactams|amides|beta lactamase resistant penicillins|cytochrome p 450 substrates|anti infective agents|cytochrome p 450 cyp3a inducers|heterocyclic compounds, fused ring|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a4 inducers (strength unknown)|antiinfectives for systemic use|cytochrome p 450 enzyme inducers|sulfur compounds|bsep/abcb11 substrates|penicillins|lactams
tranexamic acid	decreased fibrinolysis|coagulants|hematologic agents|cyclohexanes|cycloparaffins|hemostatics|amino acids|acids, carbocyclic|antifibrinolytic agents|blood and blood forming organs|cyclohexanecarboxylic acids|fibrin modulating agents
mitomycin c	antineoplastic and immunomodulating agents|alkylating drugs|azirines|antineoplastic agents|indolequinones|indoles|cross linking reagents|alkylating activity|cytotoxic antibiotics and related substances|myelosuppressive agents|nucleic acid synthesis inhibitors|mitomycins|indicators and reagents|enzyme inhibitors|noxae|heterocyclic compounds, fused ring|immunosuppressive agents|compounds used in a research, industrial, or household setting|antibiotics, antineoplastic|cardiotoxic antineoplastic agents|narrow therapeutic index drugs|toxic actions
ibutilide	amides|highest risk qtc prolonging agents|sulfones|sulfur compounds|drugs that are mainly renally excreted|antiarrhythmic agents|cardiac therapy|cardiovascular agents|qtc prolonging agents|antiarrhythmics, class iii
vindesine	antineoplastic and immunomodulating agents|antineoplastic agents|cytochrome p 450 cyp3a4 substrates|indoles|indole alkaloids|vinca alkaloids|myelosuppressive agents|antineoplastic agents, phytogenic|antimitotic agents|alkaloids|cytochrome p 450 substrates|tubulin modulators|cytochrome p 450 cyp3a4 substrates with a narrow therapeutic index|heterocyclic compounds, fused ring|immunosuppressive agents|cytochrome p 450 cyp3a substrates|mitosis modulators|cardiotoxic antineoplastic agents|narrow therapeutic index drugs|secologanin tryptamine alkaloids
chlorthalidone	membrane transport modulators|drugs causing inadvertant photosensitivity|phthalimides|antihypertensive agents indicated for hypertension|thiazide like diuretic|photosensitizing agents|sulfones|hypotensive agents|low ceiling diuretics and potassium sparing agents|cardiovascular agents|isoindoles|phthalic acids|amides|increased diuresis|sulfonamides|hyperglycemia associated agents|diuretics|low ceiling diuretics, excl. thiazides|natriuretic agents|ketones|heterocyclic compounds, fused ring|antihypertensive agents|sodium chloride symporter inhibitors|acids, carbocyclic|sulfur compounds|non potassium sparing diuretics|benzene derivatives|imides|benzophenones
pentobarbital	hypnotics and sedatives|nicotinic antagonists|central nervous system agents|pyrimidines|drugs that are mainly renally excreted|psycholeptics|cytochrome p 450 cyp3a4 inducers|adjuvants, anesthesia|barbiturates, plain|cytochrome p 450 cyp2a6 inducers|cytochrome p 450 cyp2c19 substrates|anticholinergic agents|cytochrome p 450 cyp3a inducers (strong)|anticonvulsants|central nervous system depressants|neurotransmitter agents|pyrimidinones|barbiturates|cytochrome p 450 cyp3a4 inducers (strong)|nervous system|gaba modulators|cytochrome p 450 substrates|gaba agents|cytochrome p 450 cyp3a inducers|cytochrome p 450 cyp2a6 inducers (strong)|cytochrome p 450 enzyme inducers
valproic acid	cytochrome p 450 cyp2c19 substrates with a narrow therapeutic index|acids, acyclic|ugt1a3 substrates|cytochrome p 450 cyp2c8 inhibitors|drugs causing inadvertant photosensitivity|ugt2b7 substrates with a narrow therapeutic index|central nervous system agents|fatty acid derivatives|tranquilizing agents|ugt1a6 substrates with a narrow therapeutic index|antineoplastic agents|cytochrome p 450 cyp2a6 substrates|hepatotoxic agents|ugt2b7 substrates|anti epileptic agent|decreased central nervous system disorganized electrical activity|ugt1a1 inhibitors|photosensitizing agents|cytochrome p 450 cyp1a2 inhibitors (strength unknown)|cytochrome p 450 cyp2a6 inducers|cytochrome p 450 cyp2c19 substrates|oat3/slc22a8 inhibitors|serotonergic drugs shown to increase risk of serotonin syndrome|cytochrome p 450 cyp2b6 substrates|fatty acids|anticonvulsants|central nervous system depressants|cytochrome p 450 cyp2a6 substrates with a narrow therapeutic index|cytochrome p 450 cyp2b6 substrates with a narrow therapeutic index|neurotransmitter agents|cytochrome p 450 cyp3a4 inhibitors (strength unknown)|miscellaneous anticonvulsants|oat3/slc22a8 substrates with a narrow therapeutic index|qtc prolonging agents|ugt1a1 substrates with a narrow therapeutic index|ugt1a3 substrates with a narrow therapeutic index|ugt1a9 substrates with a narrow therapeutic index|nervous system|valerates|cytochrome p 450 enzyme inhibitors|antimanic agents|cytochrome p 450 cyp2c19 inhibitors (strength unknown)|cytochrome p 450 cyp3a4 inhibitors|fatty acids, volatile|cytochrome p 450 cyp3a5 substrates with a narrow therapeutic index|cytochrome p 450 substrates|gaba agents|enzyme inhibitors|cytochrome p 450 cyp2c9 substrates|cytochrome p 450 cyp2c8 inhibitors (strength unknown)|mood stabilizer|oat1/slc22a6 inhibitors|cytochrome p 450 cyp3a inhibitors|cytochrome p 450 cyp1a2 inhibitors|cytochrome p 450 cyp2c9 inhibitors|pentanoic acids|ugt1a6 substrate|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a5 substrates|histone deacetylase inhibitors|methemoglobinemia associated agents|cytochrome p 450 enzyme inducers|psychotropic drugs|ugt1a9 substrates|highest risk qtc prolonging agents|narrow therapeutic index drugs|lipids|cytochrome p 450 cyp2c9 inhibitors (moderate)|cytochrome p 450 cyp2c9 substrates with a narrow therapeutic index|ugt1a1 substrates|ugt1a4 substrates|oat3/slc22a8 substrates
zolmitriptan	serotonin 1b and serotonin 1d receptor agonist|serotonin 5 ht1 receptor agonists|antimigraine preparations|serotonin 1b receptor agonists|oxazoles|amines|indoles|selective serotonin 5 ht1 receptor agonists|serotonergic drugs shown to increase risk of serotonin syndrome|serotonin agents|analgesics|serotonin modulators|agents that produce hypertension|central nervous system depressants|neurotransmitter agents|antidepressive agents|serotonin 1d receptor agonists|monoamine oxidase a substrates|nervous system|selective serotonin agonists|cytochrome p 450 substrates|biogenic monoamines|triptans|heterocyclic compounds, fused ring|cytochrome p 450 cyp1a2 substrates|biogenic amines|serotonin receptor agonists
paracetamol	sensory system agents|central nervous system agents|drugs that are mainly renally excreted|cytochrome p 450 cyp3a4 inhibitors (weak)|cytochrome p 450 cyp2a6 substrates|cytochrome p 450 cyp3a4 inducers|amines|cytochrome p 450 cyp3a4 substrates|miscellaneous analgesics and antipyretics|p glycoprotein inhibitors|p glycoprotein substrates|analgesics|acetaminophen and prodrugs|amides|nervous system|cytochrome p 450 enzyme inhibitors|anilides|cytochrome p 450 cyp3a4 inhibitors|cytochrome p 450 substrates|cytochrome p 450 cyp3a inducers|cytochrome p 450 cyp3a inhibitors|analgesics, non narcotic|cytochrome p 450 cyp2d6 substrates|ugt1a6 substrate|aniline compounds|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a4 inducers (strength unknown)|methemoglobinemia associated agents|cytochrome p 450 cyp2e1 substrates|cytochrome p 450 enzyme inducers|ugt1a9 substrates|cytochrome p 450 cyp1a2 substrates|antipyretics|ugt1a1 substrates
gefitinib	antineoplastic and immunomodulating agents|bcrp/abcg2 inhibitors|antineoplastic agents|kinase inhibitor|cytochrome p 450 cyp3a4 substrates|tyrosine kinase inhibitors|p glycoprotein inhibitors|p glycoprotein substrates|cytochrome p 450 cyp2d6 inhibitors (weak)|cytochrome p 450 cyp2c9 inhibitors (strength unknown)|cytochrome p 450 cyp3a4 inhibitors (strength unknown)|bcrp/abcg2 substrates|cytochrome p 450 cyp2d6 inhibitors|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp3a4 inhibitors|cytochrome p 450 cyp2c19 inhibitors (strength unknown)|cytochrome p 450 substrates|enzyme inhibitors|cytochrome p 450 cyp3a inhibitors|protein kinase inhibitors|cytochrome p 450 cyp2c9 inhibitors|heterocyclic compounds, fused ring|cytochrome p 450 cyp2d6 substrates|quinazolines|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a5 substrates
piperacillin	antibacterials for systemic use|anti bacterial agents|extended spectrum penicillins|penicillin g|agents that produce neuromuscular block (indirect)|drugs that are mainly renally excreted|beta lactam antibacterials|penicillins with extended spectrum|beta lactams|amides|oat1/slc22a6 inhibitors|anti infective agents|heterocyclic compounds, fused ring|antiinfectives for systemic use|sulfur compounds|penicillins|lactams|oat3/slc22a8 substrates
dihydroergotamine	serotonin 5 ht1 receptor agonists|sensory system agents|antimigraine preparations|central nervous system agents|adrenergic alpha 1 receptor antagonists|cytochrome p 450 cyp3a4 substrates|p glycoprotein inhibitors|adrenergic antagonists|ergot derivative dopamine receptor agonists|serotonergic drugs shown to increase risk of serotonin syndrome|serotonin agents|analgesics|vasoconstrictor agents|serotonin modulators|agents that produce hypertension|central nervous system depressants|neurotransmitter agents|antidepressive agents|cytochrome p 450 cyp3a4 inhibitors (strength unknown)|cardiovascular agents|sympatholytic (adrenergic blocking) agents|ergotamines|nervous system|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp3a4 inhibitors|alkaloids|serotonin 5 ht2 receptor agonists|cytochrome p 450 substrates|cytochrome p 450 cyp3a4 substrates with a narrow therapeutic index|cytochrome p 450 cyp3a inhibitors|analgesics, non narcotic|heterocyclic compounds, fused ring|ergot alkaloids and derivatives|cytochrome p 450 cyp3a substrates|adrenergic alpha antagonists|peripheral nervous system agents|dopamine agents|narrow therapeutic index drugs|ergotamine derivative|dopamine agonists|serotonin receptor agonists
amitriptyline	adrenergic uptake inhibitors|cytochrome p 450 cyp2c19 substrates with a narrow therapeutic index|agents producing tachycardia|membrane transport modulators|cytochrome p 450 cyp2c8 inhibitors|cytochrome p 450 cyp1a2 substrates with a narrow therapeutic index|sensory system agents|central nervous system agents|serotonin receptor antagonists|drugs that are mainly renally excreted|adrenergic alpha 1 receptor antagonists|cytochrome p 450 cyp3a4 substrates|ugt1a1 inhibitors|p glycoprotein substrates|adrenergic antagonists|cytochrome p 450 cyp2d6 inhibitors (weak)|cytochrome p 450 cyp2c19 substrates|cytochrome p 450 cyp2c8 inhibitors (moderate)|histamine h1 antagonists|analgesics|anticholinergic agents|cytochrome p 450 cyp2b6 substrates|cytochrome p 450 cyp2d6 substrates with a narrow therapeutic index|agents that produce hypertension|serotonergic drugs shown to increase risk of serotonin syndrome|serotonin agents|serotonin modulators|central nervous system depressants|cytochrome p 450 cyp2b6 substrates with a narrow therapeutic index|neurotransmitter agents|tertiary amine tricyclic antidepressants|antidepressive agents|ugt1a4 substrates|qtc prolonging agents|cytochrome p 450 cyp2d6 inhibitors|agents that reduce seizure threshold|antidepressive agents, tricyclic|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp2c19 inhibitors (strength unknown)|moderate risk qtc prolonging agents|cytochrome p 450 cyp3a5 substrates with a narrow therapeutic index|cytochrome p 450 substrates|cytochrome p 450 cyp2c9 substrates|non selective monoamine reuptake inhibitors|serotonin 5 ht2 receptor antagonists|analgesics, non narcotic|cytochrome p 450 cyp3a4 substrates with a narrow therapeutic index|serotonin 5 ht2c receptor antagonists|muscarinic antagonists|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a substrates|adrenergic alpha antagonists|combined inhibitors of serotonin/norepinephrine reuptake|cytochrome p 450 cyp3a5 substrates|neurotoxic agents|neurotransmitter uptake inhibitors|psychotropic drugs|serotonin 5 ht2a receptor antagonists|cytochrome p 450 cyp1a2 substrates|narrow therapeutic index drugs|p glycoprotein substrates with a narrow therapeutic index|cytochrome p 450 cyp2c9 substrates with a narrow therapeutic index|cytochrome p 450 cyp2c8 substrates with a narrow therapeutic index|histamine antagonists|ugt1a1 substrates|tricyclics and other norepinephrine reuptake inhibitors|cytochrome p 450 cyp2c8 substrates
floxuridine	carbohydrates|antineoplastic and immunomodulating agents|pyrimidines|thyroxine binding globulin inducers|antineoplastic agents|drugs that are mainly renally excreted|nucleosides|myelosuppressive agents|deoxyuridine|ribonucleosides|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp2c9 inhibitors (strong)|glycosides|nucleic acids, nucleotides, and nucleosides|noxae|cytochrome p 450 cyp2c9 inhibitors|immunosuppressive agents|pyrimidine analogues|deoxyribonucleosides|pyrimidine nucleosides|antimetabolites|narrow therapeutic index drugs|drugs that are mainly renally excreted with a narrow therapeutic index|toxic actions
tolcapone	central nervous system agents|anti dyskinesia agents|drugs that are mainly renally excreted|comt inhibitors|hypotensive agents|central nervous system depressants|cytochrome p 450 cyp2c9 inhibitors (strength unknown)|nervous system|phenols|cytochrome p 450 enzyme inhibitors|anti parkinson drugs|enzyme inhibitors|cytochrome p 450 cyp2c9 inhibitors|ketones|nitro compounds|dopamine agents|nitrophenols|benzene derivatives|benzophenones
fluorometholone	hormones, hormone substitutes, and hormone antagonists|adrenal cortex hormones|ophthalmologicals|cytochrome p 450 cyp3a4 inducers|cytochrome p 450 cyp3a4 substrates|fused ring compounds|anti acne preparations for topical use|corticosteroids|cytochrome p 450 cyp3a5 inducers (strength unknown)|steroids, fluorinated|hyperglycemia associated agents|anti inflammatory agents|anti acne preparations|corticosteroids, moderately potent (group ii)|pregnanes|anti allergic agents|cytochrome p 450 substrates|vasoprotectives|pregnadienediols|cytochrome p 450 cyp3a inducers|corticosteroid hormone receptor agonists|immunosuppressive agents|cytochrome p 450 cyp3a substrates|glucocorticoids|cytochrome p 450 cyp3a4 inducers (strength unknown)|dermatologicals|cytochrome p 450 enzyme inducers|steroids|corticosteroids, dermatological preparations|hormones|sensory organs|thyroxine binding globulin inhibitors|pregnadienes|agents for treatment of hemorrhoids and anal fissures for topical use|cytochrome p 450 cyp3a5 inducers
indometacin	anti inflammatory agents, non steroidal|anti inflammatory agents, non steroidal (non selective)|antiinflammatory preparations, non steroids for topical use|central nervous system agents|sensory system agents|ophthalmologicals|other nonsteroidal anti inflammatory agents|ugt2b7 substrates|tocolytic agents|musculo skeletal system|hypoglycemia associated agents|nephrotoxic agents|p glycoprotein inhibitors|oat1/slc22a6 substrates|p glycoprotein substrates|indoles|ugt1a1 inhibitors|cytochrome p 450 cyp2c19 substrates|oat3/slc22a8 inhibitors|analgesics|agents that produce hypertension|non cox 2 selective nsaids|acetic acid derivatives and related substances|oatp1b1/slco1b1 inhibitors|cardiovascular agents|antigout preparations|antiinflammatory and antirheumatic products, non steroids|myelosuppressive agents|topical products for joint and muscular pain|cytochrome p 450 enzyme inhibitors|anti inflammatory agents|cytochrome p 450 cyp2c19 inhibitors (strength unknown)|cytochrome p 450 substrates|enzyme inhibitors|cytochrome p 450 cyp2c9 substrates|oat1/slc22a6 inhibitors|analgesics, non narcotic|antirheumatic agents|heterocyclic compounds, fused ring|immunosuppressive agents|cytochrome p 450 cyp2c19 inhibitors|peripheral nervous system agents|antiinflammatory and antirheumatic products|agents causing hyperkalemia|ugt1a9 substrates|ugt2b7 inhibitors|sensory organs|bsep/abcb11 substrates|cardiac therapy|ugt1a1 substrates|oat3/slc22a8 substrates|cyclooxygenase inhibitors
ethambutol	diamines|antiinfectives for systemic use|anti bacterial agents|drugs for treatment of tuberculosis|antimycobacterials|antituberculosis agents|drugs that are mainly renally excreted|polyamines|anti infective agents|ethylenediamines|amines
metformin	amidines|guanidines|biguanides|drugs used in diabetes|alimentary tract and metabolism|oct2 substrates|mate substrates|mate 1 substrates|drugs that are mainly renally excreted|oct1 substrates|blood glucose lowering agents|oct2 inhibitors|mate 2 substrates
ipratropium	agents producing tachycardia|anti asthmatic agents|aza compounds|azabicyclo compounds|belladonna alkaloids|agents to treat airway disease|anticholinergic agents|tropanes|neurotransmitter agents|cholinergic agents|alkaloids|adrenergics, inhalants|atropine derivatives|muscarinic antagonists|drugs for obstructive airway diseases|respiratory system agents|antimuscarinics antispasmodics|peripheral nervous system agents|nasal preparations|bronchodilator agents|solanaceous alkaloids|autonomic agents
olanzapine	agents producing tachycardia|central nervous system agents|serotonin receptor antagonists|cytochrome p 450 cyp2c9 inhibitors (weak)|tranquilizing agents|adrenergic alpha 1 receptor antagonists|cytochrome p 450 cyp3a4 inhibitors (weak)|diazepines, oxazepines, thiazepines and oxepines|psycholeptics|p glycoprotein substrates|adrenergic antagonists|benzazepines|serotonergic drugs shown to increase risk of serotonin syndrome|serotonin agents|anticholinergic agents|hypotensive agents|antipsychotic agents|cytochrome p 450 cyp2c19 inhibitors (weak)|central nervous system depressants|neurotransmitter agents|antidepressive agents|qtc prolonging agents|cytochrome p 450 cyp2d6 inhibitors|nervous system|cytochrome p 450 enzyme inhibitors|hyperglycemia associated agents|cytochrome p 450 cyp3a4 inhibitors|gastrointestinal agents|cytochrome p 450 cyp2d6 inhibitors (strength unknown)|cytochrome p 450 substrates|serotonin 5 ht2 receptor antagonists|cytochrome p 450 cyp3a inhibitors|cytochrome p 450 cyp2c9 inhibitors|antipsychotic agents (second generation [atypical])|dopamine d2 receptor antagonists|heterocyclic compounds, fused ring|muscarinic antagonists|cytochrome p 450 cyp2d6 substrates|potential qtc prolonging agents|cytochrome p 450 cyp2c19 inhibitors|serotonin 5 ht2c receptor antagonists|adrenergic alpha antagonists|peripheral nervous system agents|serotonin 5 ht2a receptor antagonists|psychotropic drugs|cytochrome p 450 cyp1a2 substrates|antiemetics|histamine h2 antagonists|autonomic agents|histamine antagonists|dopamine antagonists|ugt1a4 substrates|histamine h1 antagonists
atenolol	beta blocking agents, selective, and thiazides|adrenergic agents|beta blockers (beta1 selective)|antihypertensive agents indicated for hypertension|amines|bradycardia causing agents|beta blocking agents, selective|adrenergic antagonists|hypotensive agents|qtc shortening agents|antiarrhythmic agents|cardiovascular agents|adrenergic beta 1 receptor antagonists|adrenergic beta antagonists|cytochrome p 450 substrates|beta blocking agents and thiazides|beta blocking agents and calcium channel blockers|cytochrome p 450 cyp2d6 substrates|antihypertensive agents|peripheral nervous system agents|agents causing hyperkalemia|bsep/abcb11 substrates|amino alcohols|autonomic agents|sympatholytics|alcohols
nitrofural	medicated dressings|ophthalmologicals|agents against leishmaniasis and trypanosomiasis|antiparasitic products, insecticides and repellents|blood and blood forming organs|furans|blood substitutes and perfusion solutions|nitrofurans|anti infective agents|otologicals|antiseptics and disinfectants|irrigating solutions|nitrofuran derivatives|nitro compounds|dermatologicals|sensory organs|antiprotozoals|medicated dressings with antiinfectives
omeprazole	gastric acid lowering agents|bcrp/abcg2 inhibitors|cytochrome p 450 cyp1a2 inducers (strength unknown)|acid reducers|anti ulcer agents|cytochrome p 450 cyp3a4 inducers|cytochrome p 450 cyp3a4 substrates|p glycoprotein inhibitors|p glycoprotein substrates|cytochrome p 450 cyp1a2 inducers|cytochrome p 450 cyp2d6 inhibitors (weak)|photosensitizing agents|cytochrome p 450 cyp2c19 substrates|cytochrome p 450 cyp2c19 inhibitors (weak)|cytochrome p 450 cyp3a4 inhibitors (strength unknown)|drugs for peptic ulcer and gastro oesophageal reflux disease (gord)|pyridines|cytochrome p 450 cyp2d6 inhibitors|drugs for acid related disorders|cytochrome p 450 enzyme inhibitors|benzimidazoles|cytochrome p 450 cyp3a4 inhibitors|gastrointestinal agents|cytochrome p 450 substrates|enzyme inhibitors|cytochrome p 450 cyp2c9 substrates|cytochrome p 450 cyp3a inducers|cytochrome p 450 cyp3a inhibitors|cytochrome p 450 cyp1a2 inhibitors|heterocyclic compounds, fused ring|2 pyridinylmethylsulfinylbenzimidazoles|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a4 inducers (strength unknown)|cytochrome p 450 enzyme inducers|alimentary tract and metabolism|proton pump inhibitors|sulfur compounds|cytochrome p 450 cyp2c18 substrates|sulfoxides|cytochrome p 450 cyp2c8 substrates
pyrazinamide	cytochrome p 450 cyp3a substrates|drugs causing inadvertant photosensitivity|photosensitizing agents|antiinfectives for systemic use|pyrazines|anti bacterial agents|drugs for treatment of tuberculosis|antimycobacterials|cytochrome p 450 substrates|drugs that are mainly renally excreted|anti infective agents|hepatotoxic agents
metixene	agents producing tachycardia|nervous system|anticholinergic agents|anti parkinson drugs|sulfur compounds|xanthenes|tertiary amines|heterocyclic compounds, fused ring|muscarinic antagonists
cetirizine	p glycoprotein inhibitors|histamine agents|p glycoprotein substrates|anti allergic agents|piperazine derivatives|histamine h1 antagonists, non sedating|drugs that are mainly renally excreted|piperazines|central nervous system depressants|antihistamines for systemic use|histamine antagonists|potential qtc prolonging agents|qtc prolonging agents|histamine h1 antagonists
terfenadine	cytochrome p 450 cyp2c8 inhibitors|cytochrome p 450 cyp3a4 inhibitors (strong)|histamine h1 antagonists, non sedating|cytochrome p 450 cyp3a4 inducers|cytochrome p 450 cyp3a4 substrates|p glycoprotein inhibitors|histamine agents|p glycoprotein substrates|cytochrome p 450 cyp2d6 inhibitors (weak)|anticholinergic agents|antihistamines for systemic use|neurotransmitter agents|benzhydryl compounds|cytochrome p 450 cyp3a7 substrates|qtc prolonging agents|cytochrome p 450 cyp2d6 inhibitors|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp3a4 inhibitors|cytochrome p 450 substrates|piperidines|cytochrome p 450 cyp2c8 inhibitors (strength unknown)|cytochrome p 450 cyp3a inhibitors|cytochrome p 450 cyp3a inducers|muscarinic antagonists|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp2d6 inhibitors (moderate)|cytochrome p 450 cyp3a4 inducers (strength unknown)|cytochrome p 450 cyp3a5 substrates|cytochrome p 450 enzyme inducers|highest risk qtc prolonging agents|bsep/abcb11 substrates|benzene derivatives|histamine antagonists|histamine h1 antagonists|cytochrome p 450 cyp3a4 substrates (strength unknown)
