pert_iname	classes
GR-32191	Fibrin Modulating Agents|Lipids|Hormone Antagonists|Heptanoic Acids|Fatty Acids|Benzene Derivatives|Platelet Aggregation Inhibitors|Pharmacologic Actions|Hydrocarbons, Cyclic|Hematologic Agents|Prostaglandin Antagonists|Organic Chemicals|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Hormones, Hormone Substitutes, and Hormone Antagonists|vapiprost|Fibrinolytic Agents|Chemicals and Drugs Category|Biphenyl Compounds|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
ozagrel	Histamine Antagonists|Fibrin Modulating Agents|Methacrylates|ozagrel|Pharmacologic Actions|Acids, Acyclic|Carboxylic Acids|Hematologic Agents|Acrylates|Enzyme Inhibitors|Organic Chemicals|Neurotransmitter Agents|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Fibrinolytic Agents|Chemicals and Drugs Category|Histamine Agents|Chemical Actions and Uses|Therapeutic Uses
gelsemine	Chemicals and Drugs Category|Heterocyclic Compounds|Alkaloids
NBQX	Psychotropic Drugs|Heterocyclic Compounds, Fused-Ring|Anticonvulsants|Pharmacologic Actions|Excitatory Amino Acid Antagonists|Anti-Anxiety Agents|Excitatory Amino Acid Agents|Central Nervous System Depressants|Heterocyclic Compounds|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 2-Ring|Quinoxalines|Central Nervous System Agents|Chemicals and Drugs Category|Tranquilizing Agents|Chemical Actions and Uses|Therapeutic Uses|2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline
benzatropine	Tropanes|Autonomic Agents|Bridged Bicyclo Compounds, Heterocyclic|Neurotransmitter Uptake Inhibitors|Antiparkinson Agents|Cholinergic Agents|Pharmacologic Actions|Dopamine Uptake Inhibitors|Dopamine Agents|Aza Compounds|Cholinergic Antagonists|Heterocyclic Compounds|Organic Chemicals|Azabicyclo Compounds|Muscarinic Antagonists|Anti-Dyskinesia Agents|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Parasympatholytics|Peripheral Nervous System Agents|Membrane Transport Modulators|Heterocyclic Compounds, Bridged-Ring|Central Nervous System Agents|Chemicals and Drugs Category|Chemical Actions and Uses|Alkaloids|Therapeutic Uses|Benztropine
betulinic-acid	Anti-Retroviral Agents|Hormone Antagonists|Pentacyclic Triterpenes|Anti-Infective Agents|Pharmacologic Actions|Antirheumatic Agents|Antineoplastic Agents|Anti-Inflammatory Agents|Analgesics|betulinic acid|Prostaglandin Antagonists|Organic Chemicals|Anti-Inflammatory Agents, Non-Steroidal|Anti-HIV Agents|Triterpenes|Physiological Effects of Drugs|Antiprotozoal Agents|Hydrocarbons|Analgesics, Non-Narcotic|Hormones, Hormone Substitutes, and Hormone Antagonists|Peripheral Nervous System Agents|Antiparasitic Agents|Antiviral Agents|Central Nervous System Agents|Antimalarials|Chemicals and Drugs Category|Antineoplastic Agents, Phytogenic|Sensory System Agents|Chemical Actions and Uses|Terpenes|Therapeutic Uses
diethyltoluamide	Benzoates|Benzamides|Acids, Carbocyclic|Benzene Derivatives|Pharmacologic Actions|Hydrocarbons, Cyclic|Carboxylic Acids|Organic Chemicals|Physiological Effects of Drugs|Protective Agents|DEET|Hydrocarbons|Amides|Toxic Actions|Chemicals and Drugs Category|Specialty Uses of Chemicals|Pesticides|Chemical Actions and Uses|Hydrocarbons, Aromatic|Agrochemicals|Insect Repellents
fatostatin	Heterocyclic Compounds|Organic Chemicals|fatostatin|Sulfur Compounds|Chemicals and Drugs Category|Azoles|Heterocyclic Compounds, 1-Ring|Thiazoles|Pyridines|Inorganic Chemicals
ketotifen	Histamine Antagonists|Antipruritics|Dermatologic Agents|Ketotifen|Inorganic Chemicals|Pharmacologic Actions|Sulfur Compounds|Piperidines|Histamine H1 Antagonists|Anti-Allergic Agents|Heterocyclic Compounds|Organic Chemicals|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Thiophenes|Chemicals and Drugs Category|Histamine Agents|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
diethylcarbamazine	Anti-Infective Agents|Antinematodal Agents|Pharmacologic Actions|Acids, Acyclic|Anthelmintics|Carbamates|Carboxylic Acids|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Molecular Mechanisms of Pharmacological Action|Filaricides|Antiparasitic Agents|Lipoxygenase Inhibitors|Diethylcarbamazine|Chemicals and Drugs Category|Piperazines|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
AG-490	Heterocyclic Compounds, Fused-Ring|Nitriles|Benzene Derivatives|Pharmacologic Actions|Hydrocarbons, Cyclic|Antineoplastic Agents|Tyrphostins|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Benzylidene Compounds|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|alpha-cyano-(3,4-dihydroxy)-N-benzylcinnamide|Heterocyclic Compounds, 2-Ring|Quinoxalines|Chemicals and Drugs Category|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
bupropion	Psychotropic Drugs|Neurotransmitter Uptake Inhibitors|Drug-Related Side Effects and Adverse Reactions|Cytochrome P-450 CYP2D6 Inhibitors|Pharmacologic Actions|Bupropion|Diseases Category|Dopamine Uptake Inhibitors|Propiophenones|Chemically-Induced Disorders|Metabolic Side Effects of Drugs and Substances|Antidepressive Agents|Dopamine Agents|Antidepressive Agents, Second-Generation|Enzyme Inhibitors|Organic Chemicals|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Smoking Cessation Agents|Cytochrome P-450 Enzyme Inhibitors|Ketones|Membrane Transport Modulators|Central Nervous System Agents|Chemicals and Drugs Category|Chemical Actions and Uses|Therapeutic Uses
loreclezole	Heterocyclic Compounds|Anticonvulsants|Pharmacologic Actions|Triazoles|Central Nervous System Agents|Chemicals and Drugs Category|Azoles|loreclezole|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
deoxycorticosterone-acetate	Hormones|Pharmacologic Actions|Steroids|Desoxycorticosterone Acetate|Mineralocorticoids|Polycyclic Compounds|Pregnenediones|Physiological Effects of Drugs|Chemicals and Drugs Category|Desoxycorticosterone|Adrenal Cortex Hormones|Fused-Ring Compounds|Hydroxycorticosteroids|Pregnenes|Pregnanes|Chemical Actions and Uses|Hormones, Hormone Substitutes, and Hormone Antagonists
bemegride	Heterocyclic Compounds|Pharmacologic Actions|Respiratory System Agents|Pyridones|Central Nervous System Agents|Bemegride|Physiological Effects of Drugs|Central Nervous System Stimulants|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Pyridines|Convulsants|Therapeutic Uses
GBR-12935	Heterocyclic Compounds|Pharmacologic Actions|Membrane Transport Modulators|Dopamine Uptake Inhibitors|Neurotransmitter Agents|Physiological Effects of Drugs|Chemicals and Drugs Category|Piperazines|Molecular Mechanisms of Pharmacological Action|1-(2 (diphenylmethoxy)ethyl)-4-(3-phenylpropyl)piperazine|Heterocyclic Compounds, 1-Ring|Dopamine Agents|Chemical Actions and Uses|Neurotransmitter Uptake Inhibitors
nicotinamide	Food|Nutrients|Pharmacologic Actions|Nicotinic Acids|Phenomena and Processes Category|Acids, Heterocyclic|Heterocyclic Compounds|Physiological Effects of Drugs|Physiological Phenomena|Pyridines|Vitamins|Vitamin B Complex|Chemicals and Drugs Category|Technology and Food and Beverages Category|Diet, Food, and Nutrition|Heterocyclic Compounds, 1-Ring|Niacinamide|Chemical Actions and Uses|Micronutrients|Food and Beverages
pazufloxacin	Anti-Bacterial Agents|Anti-Infective Agents|Fluoroquinolones|Quinolones|Heterocyclic Compounds, Fused-Ring|Pharmacologic Actions|Antitubercular Agents|Nucleic Acid Synthesis Inhibitors|Antineoplastic Agents|Enzyme Inhibitors|Heterocyclic Compounds|pazufloxacin|Topoisomerase II Inhibitors|Oxazines|Molecular Mechanisms of Pharmacological Action|Topoisomerase Inhibitors|Heterocyclic Compounds, 2-Ring|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Quinolines|Therapeutic Uses
ritonavir	Anti-Retroviral Agents|HIV Protease Inhibitors|Viral Protease Inhibitors|Anti-Infective Agents|Protease Inhibitors|Inorganic Chemicals|Drug-Related Side Effects and Adverse Reactions|Pharmacologic Actions|Sulfur Compounds|Diseases Category|Chemically-Induced Disorders|Metabolic Side Effects of Drugs and Substances|Cytochrome P-450 CYP3A Inhibitors|Thiazoles|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Anti-HIV Agents|Azoles|Molecular Mechanisms of Pharmacological Action|Cytochrome P-450 Enzyme Inhibitors|Antiviral Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Ritonavir|Chemical Actions and Uses|Therapeutic Uses
CITCO	Heterocyclic Compounds|Organic Chemicals|6-(4-chlorophenyl)imidazo(2,1-b)(1,3)thiazole-5-carbaldehyde O-(3,4-dichlorobenzyl)oxime|Oximes|Sulfur Compounds|Hydroxylamines|Chemicals and Drugs Category|Azoles|Amines|Heterocyclic Compounds, 1-Ring|Thiazoles|Inorganic Chemicals
halometasone	Glucocorticoids|Steroids|Pregnadienetriols|Dermatologic Agents|Pharmacologic Actions|Anti-Inflammatory Agents|Pregnanes|Hormones|Physiological Effects of Drugs|Steroids, Fluorinated|halometasone|Adrenal Cortex Hormones|Pregnadienes|Hormones, Hormone Substitutes, and Hormone Antagonists|Polycyclic Compounds|Chemicals and Drugs Category|Fused-Ring Compounds|Chemical Actions and Uses|Therapeutic Uses
fluprostenol	Inflammation Mediators|Lipids|Luteolytic Agents|Autacoids|Eicosanoids|Fatty Acids|Pharmacologic Actions|Fatty Acids, Unsaturated|Prostaglandins|Contraceptive Agents, Hormonal|Reproductive Control Agents|Physiological Effects of Drugs|Prostaglandins F, Synthetic|fluprostenol|Biological Factors|Contraceptive Agents|Chemicals and Drugs Category|Contraceptive Agents, Female|Prostaglandins, Synthetic|Chemical Actions and Uses|Therapeutic Uses
CV-1808	Ribonucleosides|Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Vasodilator Agents|Purines|Nucleosides|Glycosides|Nucleic Acids, Nucleotides, and Nucleosides|Chemicals and Drugs Category|Cardiovascular Agents|Pharmacologic Actions|Purine Nucleosides|Heterocyclic Compounds, Fused-Ring|2-phenylaminoadenosine|Carbohydrates|Chemical Actions and Uses|Therapeutic Uses
cabergoline	Ergot Alkaloids|Heterocyclic Compounds, Fused-Ring|Antiparkinson Agents|Pharmacologic Actions|Cabergoline|Dopamine Agents|Dopamine Agonists|Heterocyclic Compounds, 4 or More Rings|Heterocyclic Compounds|Anti-Dyskinesia Agents|Neurotransmitter Agents|Ergolines|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Central Nervous System Agents|Chemicals and Drugs Category|Chemical Actions and Uses|Alkaloids|Therapeutic Uses
rottlerin	Pyrans|Heterocyclic Compounds|Organic Chemicals|Heterocyclic Compounds, 2-Ring|Ketones|Chemicals and Drugs Category|Pharmacologic Actions|Molecular Mechanisms of Pharmacological Action|rottlerin|Heterocyclic Compounds, Fused-Ring|Heterocyclic Compounds, 1-Ring|Benzopyrans|Acetophenones|Chemical Actions and Uses|Enzyme Inhibitors
etamivan	Acids, Carbocyclic|Organic Chemicals|Benzene Derivatives|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Carboxylic Acids|Benzoates|Amides|ethamivan|Hydrocarbons|Hydrocarbons, Aromatic|Benzamides
siguazodan	Amidines|Heterocyclic Compounds|Organic Chemicals|Pharmacologic Actions|Vasodilator Agents|Phosphodiesterase Inhibitors|Guanidines|Chemicals and Drugs Category|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses|Pyridazines|siguazodan|Enzyme Inhibitors
MDL-72832	Organic Chemicals|Polycyclic Compounds|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Hydrocarbons|MDL 72832|Spiro Compounds
AG-14361	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Benzodiazepines|Benzazepines|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring
moclobemide	Psychotropic Drugs|Benzoates|Benzamides|Acids, Carbocyclic|Benzene Derivatives|Pharmacologic Actions|Hydrocarbons, Cyclic|Carboxylic Acids|Antidepressive Agents|Enzyme Inhibitors|Organic Chemicals|Molecular Mechanisms of Pharmacological Action|Monoamine Oxidase Inhibitors|Hydrocarbons|Chlorobenzoates|Amides|Central Nervous System Agents|Chemicals and Drugs Category|Moclobemide|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
valproic-acid	Valerates|Lipids|Pentanoic Acids|Psychotropic Drugs|Fatty Acids|Antimanic Agents|Anticonvulsants|Pharmacologic Actions|Acids, Acyclic|Carboxylic Acids|Central Nervous System Depressants|Enzyme Inhibitors|Organic Chemicals|Neurotransmitter Agents|Physiological Effects of Drugs|Fatty Acids, Volatile|Valproic Acid|Molecular Mechanisms of Pharmacological Action|GABA Agents|Central Nervous System Agents|Chemicals and Drugs Category|Tranquilizing Agents|Chemical Actions and Uses|Therapeutic Uses
labetalol	Salicylamides|Antihypertensive Agents|Anti-Infective Agents|Adrenergic Antagonists|Autonomic Agents|Adrenergic Agents|Pharmacologic Actions|Central Nervous System Depressants|Anti-Infective Agents, Local|Organic Chemicals|Solvents|Ethanol|Adrenergic beta-Antagonists|Neurotransmitter Agents|Adrenergic alpha-1 Receptor Antagonists|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Alcohols|Peripheral Nervous System Agents|Labetalol|Amides|Adrenergic alpha-Antagonists|Central Nervous System Agents|Amino Alcohols|Sympathomimetics|Chemicals and Drugs Category|Ethanolamines|Amines|Specialty Uses of Chemicals|Chemical Actions and Uses|Therapeutic Uses
importazole	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|Quinazolines
digoxin	Cardiotonic Agents|Steroids|Digitalis Glycosides|Pharmacologic Actions|Glycosides|Enzyme Inhibitors|Physiological Effects of Drugs|Cardanolides|Cardiac Glycosides|Cardiovascular Agents|Protective Agents|Molecular Mechanisms of Pharmacological Action|Cardenolides|Anti-Arrhythmia Agents|Polycyclic Compounds|Chemicals and Drugs Category|Specialty Uses of Chemicals|Fused-Ring Compounds|Digoxin|Carbohydrates|Chemical Actions and Uses|Therapeutic Uses
spironolactone	Mineralocorticoid Receptor Antagonists|Lactones|Hormone Antagonists|Steroids|Spironolactone|Pharmacologic Actions|Pregnanes|Organic Chemicals|Physiological Effects of Drugs|Cardiovascular Agents|Pregnenes|Diuretics, Potassium Sparing|Hormones, Hormone Substitutes, and Hormone Antagonists|Diuretics|Polycyclic Compounds|Natriuretic Agents|Chemicals and Drugs Category|Fused-Ring Compounds|Chemical Actions and Uses|Therapeutic Uses
FK-888	Peptides|Heterocyclic Compounds, 2-Ring|Indoles|Dipeptides|Chemicals and Drugs Category|Amino Acids, Peptides, and Proteins|Heterocyclic Compounds|Heterocyclic Compounds, Fused-Ring|FK 888|Oligopeptides
EBPC	Amino Acids, Acidic|Heterocyclic Compounds|Organic Chemicals|ethyl 1-benzyl-3-hydroxy-2(5H)-oxopyrrole-4-carboxylate|Acids, Acyclic|Imines|Amino Acids|Pyrrolidines|Chemicals and Drugs Category|Carboxylic Acids|Amino Acids, Peptides, and Proteins|Pyrrolidinones|Heterocyclic Compounds, 1-Ring|Imino Acids|Glutamates|Amino Acids, Dicarboxylic|Amino Acids, Cyclic
CA-074-Me	Peptides|Dipeptides|Chemicals and Drugs Category|Amino Acids, Peptides, and Proteins|Oligopeptides
synephrine	Nasal Decongestants|Anti-Infective Agents|Tyramine|Synephrine|Autonomic Agents|Neurotransmitter Uptake Inhibitors|Vasoconstrictor Agents|Adrenergic Agents|Pharmacologic Actions|Respiratory System Agents|Biogenic Amines|Central Nervous System Depressants|Anti-Infective Agents, Local|Organic Chemicals|Solvents|Ethanol|Biogenic Monoamines|Neurotransmitter Agents|Physiological Effects of Drugs|Cardiovascular Agents|Adrenergic alpha-Agonists|Molecular Mechanisms of Pharmacological Action|Alcohols|Adrenergic Uptake Inhibitors|Peripheral Nervous System Agents|Adrenergic Agonists|Membrane Transport Modulators|Central Nervous System Agents|Amino Alcohols|Sympathomimetics|Chemicals and Drugs Category|Ethanolamines|Amines|Specialty Uses of Chemicals|Chemical Actions and Uses|Therapeutic Uses
VX-222	Lipids|Macrocyclic Compounds|Cyclohexanols|Inorganic Chemicals|Sulfur Compounds|Hydrocarbons, Alicyclic|Hydrocarbons, Cyclic|Cyclohexanes|Fatty Alcohols|Heterocyclic Compounds|Organic Chemicals|Hexanols|Thiophenes|Alcohols|Hydrocarbons|Cycloparaffins|lomibuvir|Polycyclic Compounds|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring
cediranib	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Protein Kinase Inhibitors|Chemicals and Drugs Category|Molecular Mechanisms of Pharmacological Action|Pharmacologic Actions|cediranib|Antineoplastic Agents|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|Therapeutic Uses|Quinazolines|Enzyme Inhibitors
cardiogenol-c	Heterocyclic Compounds|Organic Chemicals|Aniline Compounds|cardiogenol C|Chemicals and Drugs Category|Amines|Heterocyclic Compounds, 1-Ring|Pyrimidines
quinapril	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Angiotensin-Converting Enzyme Inhibitors|Protease Inhibitors|Quinapril|Chemicals and Drugs Category|Cardiovascular Agents|Tetrahydroisoquinolines|Antihypertensive Agents|Pharmacologic Actions|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, Fused-Ring|Isoquinolines|Chemical Actions and Uses|Therapeutic Uses|Enzyme Inhibitors
oxybutynin	Anti-Infective Agents|Autonomic Agents|Acids, Carbocyclic|Cholinergic Agents|Pharmacologic Actions|Carboxylic Acids|Renal Agents|Mandelic Acids|Cholinergic Antagonists|oxybutynin|Organic Chemicals|Muscarinic Antagonists|Neurotransmitter Agents|Physiological Effects of Drugs|Hydroxy Acids|Molecular Mechanisms of Pharmacological Action|Parasympatholytics|Peripheral Nervous System Agents|Chemicals and Drugs Category|Anti-Infective Agents, Urinary|Urological Agents|Chemical Actions and Uses|Therapeutic Uses
midostaurin	Indolizines|Heterocyclic Compounds, 3-Ring|Heterocyclic Compounds, Fused-Ring|Pharmacologic Actions|Protein Kinase Inhibitors|Antineoplastic Agents|midostaurin|Enzyme Inhibitors|Heterocyclic Compounds|Carbazoles|Indolizidines|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 2-Ring|Indole Alkaloids|Indoles|Chemicals and Drugs Category|Chemical Actions and Uses|Alkaloids|Therapeutic Uses
nitrendipine	Heterocyclic Compounds|Pharmacologic Actions|Vasodilator Agents|Membrane Transport Modulators|Calcium-Regulating Hormones and Agents|Dihydropyridines|Physiological Effects of Drugs|Nitrendipine|Chemicals and Drugs Category|Antihypertensive Agents|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Pyridines|Calcium Channel Blockers|Therapeutic Uses
CGP-52432	Phosphorus Compounds|Organic Chemicals|Benzene Derivatives|CGP 52432|Benzyl Compounds|Organophosphorus Compounds|Acids, Noncarboxylic|Phosphinic Acids|Phosphorus Acids|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Amines|Acids|Hydrocarbons|Hydrocarbons, Aromatic|Inorganic Chemicals|Benzylamines
ofloxacin	Anti-Bacterial Agents|Anti-Infective Agents|Fluoroquinolones|Quinolones|Heterocyclic Compounds, Fused-Ring|Ofloxacin|Drug-Related Side Effects and Adverse Reactions|Pharmacologic Actions|Diseases Category|Nucleic Acid Synthesis Inhibitors|Chemically-Induced Disorders|Metabolic Side Effects of Drugs and Substances|Renal Agents|Antineoplastic Agents|Enzyme Inhibitors|Heterocyclic Compounds|Topoisomerase II Inhibitors|Cytochrome P-450 CYP1A2 Inhibitors|Molecular Mechanisms of Pharmacological Action|Topoisomerase Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Heterocyclic Compounds, 2-Ring|Chemicals and Drugs Category|Anti-Infective Agents, Urinary|Chemical Actions and Uses|Quinolines|Therapeutic Uses
geranylgeraniol	Diterpenes|Organic Chemicals|Chemicals and Drugs Category|Hydrocarbons|Terpenes
perindopril	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Perindopril|Angiotensin-Converting Enzyme Inhibitors|Indoles|Chemicals and Drugs Category|Protease Inhibitors|Cardiovascular Agents|Antihypertensive Agents|Pharmacologic Actions|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|Therapeutic Uses|Enzyme Inhibitors
tibolone	tibolone|Antihypertensive Agents|Hormone Antagonists|Steroids|Pharmacologic Actions|Norpregnanes|Anabolic Agents|Antineoplastic Agents|Hormones|Androgen Antagonists|Physiological Effects of Drugs|Cardiovascular Agents|Norsteroids|Hormones, Hormone Substitutes, and Hormone Antagonists|Estrogen Receptor Modulators|Polycyclic Compounds|Chemicals and Drugs Category|Fused-Ring Compounds|Chemical Actions and Uses|Antineoplastic Agents, Hormonal|Therapeutic Uses|Norpregnenes
dichlorobenzamil	Pyrazines|Heterocyclic Compounds|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring
amantadine	Macrocyclic Compounds|Anti-Infective Agents|Antiparkinson Agents|Pharmacologic Actions|Hydrocarbons, Alicyclic|Hydrocarbons, Cyclic|Bridged-Ring Compounds|Dopamine Agents|Analgesics|Amantadine|Organic Chemicals|Anti-Dyskinesia Agents|Neurotransmitter Agents|Physiological Effects of Drugs|Adamantane|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Antiviral Agents|Cycloparaffins|Central Nervous System Agents|Polycyclic Compounds|Chemicals and Drugs Category|Sensory System Agents|Chemical Actions and Uses|Therapeutic Uses
olmesartan	Angiotensin Receptor Antagonists|Heterocyclic Compounds|Antihypertensive Agents|Imidazoles|Angiotensin II Type 1 Receptor Blockers|Chemicals and Drugs Category|Azoles|Cardiovascular Agents|Pharmacologic Actions|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 1-Ring|Tetrazoles|olmesartan|Chemical Actions and Uses|Therapeutic Uses
losartan	Angiotensin Receptor Antagonists|Antihypertensive Agents|Benzene Derivatives|Pharmacologic Actions|Hydrocarbons, Cyclic|Losartan|Heterocyclic Compounds|Organic Chemicals|Imidazoles|Angiotensin II Type 1 Receptor Blockers|Azoles|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Anti-Arrhythmia Agents|Chemicals and Drugs Category|Biphenyl Compounds|Heterocyclic Compounds, 1-Ring|Tetrazoles|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
ethisterone	Steroids|Polycyclic Compounds|Chemicals and Drugs Category|Fused-Ring Compounds|Pregnenes|Pregnanes
nifurtimox	Heterocyclic Compounds|Organic Chemicals|Thiazines|Sulfur Compounds|Nifurtimox|Anti-Infective Agents|Antiparasitic Agents|Chemicals and Drugs Category|Pharmacologic Actions|Antiprotozoal Agents|Nitro Compounds|Trypanocidal Agents|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Furans|Nitrofurans|Inorganic Chemicals|Therapeutic Uses
vinblastine	Vinblastine|Indolizines|Heterocyclic Compounds, Fused-Ring|Antimitotic Agents|Pharmacologic Actions|Antineoplastic Agents|Heterocyclic Compounds|Tubulin Modulators|Mitosis Modulators|Indolizidines|Molecular Mechanisms of Pharmacological Action|Vinca Alkaloids|Heterocyclic Compounds, 2-Ring|Indole Alkaloids|Indoles|Chemicals and Drugs Category|Antineoplastic Agents, Phytogenic|Secologanin Tryptamine Alkaloids|Chemical Actions and Uses|Alkaloids|Therapeutic Uses
ornidazole	Heterocyclic Compounds|Organic Chemicals|Pharmacologic Actions|Antitrichomonal Agents|Imidazoles|Nitroimidazoles|Anti-Infective Agents|Antiparasitic Agents|Chemicals and Drugs Category|Azoles|Ornidazole|Antiprotozoal Agents|Nitro Compounds|Amebicides|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Radiation-Sensitizing Agents|Therapeutic Uses
epicatechin-gallate-(-)	Protease Inhibitors|Heterocyclic Compounds, Fused-Ring|Antioxidants|Pyrans|Pharmacologic Actions|Antineoplastic Agents|Benzopyrans|Enzyme Inhibitors|Chromans|Heterocyclic Compounds|epicatechin gallate|Physiological Effects of Drugs|Protective Agents|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 2-Ring|Flavonoids|Chemicals and Drugs Category|Specialty Uses of Chemicals|Chromones|Antineoplastic Agents, Phytogenic|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
cefotiam	Anti-Bacterial Agents|Anti-Infective Agents|Cefotiam|Heterocyclic Compounds, Fused-Ring|Inorganic Chemicals|Pharmacologic Actions|Sulfur Compounds|beta-Lactams|Lactams|Cephacetrile|Heterocyclic Compounds|Organic Chemicals|Thiazines|Cephalosporins|Amides|Heterocyclic Compounds, 2-Ring|Cefotaxime|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
L-655708	Heterocyclic Compounds|Imidazoles|Chemicals and Drugs Category|Azoles|Heterocyclic Compounds, 1-Ring
KN-62	Heterocyclic Compounds, Fused-Ring|Inorganic Chemicals|Pharmacologic Actions|Sulfur Compounds|Isoquinolines|KN 62|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Sulfones|Molecular Mechanisms of Pharmacological Action|Sulfonamides|Amides|Heterocyclic Compounds, 2-Ring|Chemicals and Drugs Category|Piperazines|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses
ambroxol	Aniline Compounds|Macrocyclic Compounds|Pharmacologic Actions|Respiratory System Agents|Hydrocarbons, Alicyclic|Hydrocarbons, Cyclic|Cyclohexanes|Organic Chemicals|Ambroxol|Hydrocarbons|Bromhexine|Cycloparaffins|Polycyclic Compounds|Chemicals and Drugs Category|Amines|Cyclohexylamines|Chemical Actions and Uses|Therapeutic Uses|Expectorants
levocetirizine	Histamine Antagonists|Cetirizine|Antipruritics|Dermatologic Agents|levocetirizine|Pharmacologic Actions|Histamine H1 Antagonists|Anti-Allergic Agents|Heterocyclic Compounds|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Histamine H1 Antagonists, Non-Sedating|Chemicals and Drugs Category|Histamine Agents|Piperazines|Heterocyclic Compounds, 1-Ring|Hydroxyzine|Chemical Actions and Uses|Therapeutic Uses
etoposide	Glucosides|Polycyclic Aromatic Hydrocarbons|Antimitotic Agents|Tetrahydronaphthalenes|Dermatologic Agents|Pharmacologic Actions|Benzene Derivatives|Podophyllotoxin|Lignans|Glycosides|Hydrocarbons, Cyclic|Antineoplastic Agents|Enzyme Inhibitors|Organic Chemicals|Tubulin Modulators|Topoisomerase II Inhibitors|Mitosis Modulators|Molecular Mechanisms of Pharmacological Action|Topoisomerase Inhibitors|Hydrocarbons|Naphthalenes|Keratolytic Agents|Benzyl Compounds|Polycyclic Compounds|Chemicals and Drugs Category|Antineoplastic Agents, Phytogenic|Etoposide|Carbohydrates|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
